Group,Date,Week,Week of Project,PSA_MY_N,PSA_BL_N,PSA_CH_N,nScans,PSA_MY_perc,PSA_BL_perc,PSA_CH_perc
R3,02/12/2015,12,69,0,0,0,24,0,0,0
R3,02/13/2015,12,69,14,8,0,24,58,33,0
R3,02/14/2015,12,69,12,0,0,21,57,0,0
R3,02/15/2015,12,69,0,0,0,24,0,0,0
R3,02/16/2015,13,69,0,0,0,25,0,0,0
R3,02/17/2015,13,69,0,0,0,24,0,0,0
R3,02/18/2015,13,69,0,0,0,18,0,0,0
R3,02/19/2015,13,69,15,0,2,24,63,0,8
R3,02/20/2015,13,69,0,0,0,19,0,0,0
R3,02/21/2015,13,69,0,3,2,20,0,15,10
R3,02/22/2015,13,69,17,0,0,20,85,0,0
R3,03/09/2015,14,70,0,0,0,6,0,0,0
R3,03/10/2015,14,70,10,0,0,24,42,0,0
R3,03/11/2015,14,70,0,0,0,23,0,0,0
R3,03/12/2015,14,70,6,0,0,23,26,0,0
R3,03/13/2015,14,70,8,0,0,24,33,0,0
R3,03/14/2015,14,70,0,0,0,24,0,0,0
R3,03/15/2015,14,70,5,0,0,19,26,0,0
R3,03/16/2015,15,70,9,0,0,17,53,0,0
R3,03/17/2015,15,70,0,0,0,21,0,0,0
R3,03/18/2015,15,70,0,0,0,19,0,0,0
R3,03/19/2015,15,70,0,0,0,19,0,0,0
R3,03/20/2015,15,70,0,0,0,20,0,0,0
R3,03/21/2015,15,70,6,0,0,23,26,0,0
R3,03/22/2015,15,70,0,0,0,17,0,0,0
R3,04/09/2015,16,71,0,0,0,8,0,0,0
R3,04/10/2015,16,71,9,0,0,25,36,0,0
R3,04/11/2015,16,71,5,0,0,22,23,0,0
R3,04/12/2015,16,71,0,0,0,13,0,0,0
R3,04/13/2015,16,71,0,0,0,24,0,0,0
R3,04/14/2015,16,71,13,0,0,23,57,0,0
R3,04/15/2015,16,71,17,0,0,23,74,0,0
R4,01/23/2013,1,50,0,0,0,23,0,0,0
R4,01/24/2013,1,50,0,0,0,22,0,0,0
R4,01/26/2013,1,50,0,0,0,18,0,0,0
R4,01/27/2013,1,50,0,0,0,24,0,0,0
R4,01/28/2013,1,50,0,0,0,23,0,0,0
R4,01/29/2013,1,50,8,0,0,20,40,0,0
R4,02/06/2013,2,51,0,0,0,20,0,0,0
R4,02/07/2013,2,51,0,0,0,20,0,0,0
R4,02/08/2013,2,51,0,0,0,24,0,0,0
R4,02/09/2013,2,51,4,0,0,24,17,0,0
R4,02/10/2013,2,51,5,0,0,24,21,0,0
R4,02/11/2013,2,51,4,0,0,24,17,0,0
R4,02/12/2013,2,51,0,0,0,18,0,0,0
R4,02/13/2013,3,51,0,0,0,24,0,0,0
R4,02/14/2013,3,51,0,0,0,23,0,0,0
R4,02/15/2013,3,51,10,0,0,24,42,0,0
R4,02/16/2013,3,51,0,0,0,25,0,0,0
R4,02/17/2013,3,51,0,0,0,25,0,0,0
R4,02/18/2013,3,51,0,0,0,23,0,0,0
R4,02/19/2013,3,51,0,0,0,21,0,0,0
R4,03/06/2013,4,52,4,0,0,10,40,0,0
R4,03/07/2013,4,52,3,0,0,24,13,0,0
R4,03/08/2013,4,52,6,0,0,24,25,0,0
R4,03/09/2013,4,52,6,0,0,22,27,0,0
R4,03/10/2013,4,52,0,0,0,16,0,0,0
R4,03/11/2013,4,52,0,0,0,21,0,0,0
R4,03/12/2013,4,52,0,0,0,22,0,0,0
R4,03/20/2013,5,53,0,0,0,9,0,0,0
R4,03/21/2013,5,53,0,0,0,25,0,0,0
R4,03/22/2013,5,53,0,0,0,25,0,0,0
R4,03/23/2013,5,53,0,0,0,24,0,0,0
R4,03/24/2013,5,53,0,0,0,18,0,0,0
R4,03/25/2013,5,53,10,0,0,24,42,0,0
R4,03/26/2013,5,53,6,0,0,23,26,0,0
R4,03/27/2013,6,53,0,0,0,22,0,0,0
R4,03/28/2013,6,53,0,0,0,22,0,0,0
R4,03/29/2013,6,53,0,0,0,23,0,0,0
R4,03/30/2013,6,53,0,0,0,23,0,0,0
R4,03/31/2013,6,53,0,0,0,24,0,0,0
R4,04/01/2013,6,53,0,0,0,25,0,0,0
R4,04/02/2013,6,53,4,0,0,21,19,0,0
R4,03/13/2014,7,63,0,0,0,19,0,0,0
R4,03/14/2014,7,63,0,0,0,21,0,0,0
R4,03/15/2014,7,63,0,0,0,24,0,0,0
R4,03/16/2014,7,63,0,0,0,16,0,0,0
R4,03/17/2014,7,63,0,0,0,22,0,0,0
R4,03/18/2014,7,63,0,0,0,21,0,0,0
R4,03/19/2014,8,63,0,0,0,21,0,0,0
R4,03/20/2014,8,63,0,0,0,20,0,0,0
R4,03/21/2014,8,63,0,0,0,23,0,0,0
R4,03/22/2014,8,63,0,0,0,21,0,0,0
R4,03/23/2014,8,63,0,0,0,22,0,0,0
R4,03/24/2014,8,63,0,0,0,18,0,0,0
