Group,WoP,Date,Time start,Number of Calls WITHIN,Call Type 1,Call Type 2,Context 1,Context 2,Number of Calls OUTSIDE,Eagle,Non-Alarm,unknown
R4,66,06/17/2014,14:29,2,Pop,Snake chirps,Calls from a bird,,,0,1,0
R4,66,06/18/2014,12:31,1,Pop,,Fight within group,,,0,1,0
R4,66,06/18/2014,13:32,2,Pop,,Eagle alarm,,,1,0,0
R4,66,06/19/2014,12:30,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,66,06/20/2014,12:41,2,Pop,Snake chirps,Calls from a bird,,,0,1,0
R4,66,06/20/2014,14:42,1,Pop,,Eagle alarm,,,1,0,0
R4,67,07/09/2014,17:00,1,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,67,07/10/2014,14:26,1,Pop,,Calls from a bird,,,0,1,0
R4,67,07/11/2014,15:07,2,Pop,,Eagle alarm,,,1,0,0
R4,67,07/12/2014,13:30,1,Pop,,Calls from a bird,,,0,1,0
R4,67,07/13/2014,12:02,1,Pop,,Eagle alarm,,,1,0,0
R4,67,07/13/2014,13:18,1,Pop,Snake chirps,Calls from a bird,,,0,1,0
R4,67,07/14/2014,11:15,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,67,07/14/2014,12:18,1,Pop,,Calls from a bird,,,0,1,0
R4,67,07/15/2014,12:10,2,Pop,,Calls from a bird,,,0,1,0
R4,67,07/15/2014,14:10,1,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,67,07/16/2014,13:28,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,67,07/16/2014,15:11,1,Pop,Snake chirps,Calls from a bird,,,0,1,0
R4,67,07/17/2014,09:56,2,Pop,,Eagle alarm,,,1,0,0
R4,67,07/17/2014,14:56,1,Pop,Snake chirps,Calls from a bird,,,0,1,0
R4,67,07/18/2014,10:37,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R4,67,07/18/2014,13:38,1,Pop,,Calls from a bird,,,0,1,0
R5,28,12/30/2011,11:08,1,Pop,,,,,0,1,0
R5,29,01/11/2012,16:34,1,Pop,,IGE,,1,0,1,0
R5,29,01/13/2012,11:12,1,Pop,,IGE,,,0,1,0
R5,29,01/13/2012,11:26,4,Pop,,Calls from another monkey species,,,0,1,0
R5,29,01/13/2012,11:28,,,Pop,,IGE,1,0,1,0
R5,29,01/16/2012,09:53,2,Pop,,Eagle alarm,,,1,0,0
R5,29,01/16/2012,13:37,2,Pop,,,,,0,1,0
R5,29,01/18/2012,12:38,1,Pop,,Eagle alarm,,,1,0,0
R5,29,01/18/2012,15:12,1,Pop,,Eagle alarm,,,1,0,0
R5,29,01/18/2012,16:26,1,Pop,,Calls from another monkey species,,,0,1,0
R5,30,01/26/2012,10:47,,,Pop,,Calls from another monkey species,1,0,1,0
R5,30,01/26/2012,10:48,1,Pop,,Calls from another redtail group,,,0,1,0
R5,30,01/26/2012,10:49,,Pop,,,,1,0,1,0
R5,30,01/27/2012,08:37,1,Pop,,Calls from another monkey species,,,0,1,0
R5,30,01/27/2012,09:12,1,Pop,,Calls from another monkey species,,,0,1,0
R5,30,01/27/2012,09:15,1,Pop,,Calls from another monkey species,,,0,1,0
R5,30,01/27/2012,13:17,1,Pop,,Calls from another monkey species,,,0,1,0
R5,30,01/27/2012,13:36,7,Pop,,Eagle alarm,,,1,0,0
R5,30,01/27/2012,16:55,1,Pop,,Tree/branch fall,,,0,1,0
R5,30,01/28/2012,07:59,1,Pop,,Calls from another monkey species,,,0,1,0
R5,30,01/28/2012,13:57,1,Pop,,Unknown,,,0,1,0
R5,30,01/29/2012,10:25,3,Pop,,IGE,,2,0,1,0
R5,32,02/19/2012,16:31,1,Pop,,Eagle alarm,,,1,0,0
R5,32,02/20/2012,11:01,2,Pop,,Calls from a bird,,,0,1,0
R5,32,02/20/2012,14:02,1,Pop,,Eagle alarm,,,1,0,0
R5,32,02/20/2012,14:04,1,Pop,,Eagle alarm,,,1,0,0
R5,32,02/21/2012,08:11,1,Pop,,Calls from another monkey species,,,0,1,0
R5,32,02/21/2012,08:33,1,Pop,,Calls from another monkey species,,,0,1,0
R5,32,02/21/2012,08:45,1,Pop,,Calls from another monkey species,,,0,1,0
R5,32,02/21/2012,09:28,1,Pop,,Eagle alarm,,,1,0,0
R5,32,02/21/2012,10:46,1,Pop,,Tree/branch fall,,,0,1,0
R5,32,02/22/2012,11:57,1,Pop,,Eagle alarm,,,1,0,0
R5,32,02/22/2012,13:42,2,Pop,,Calls from another monkey species,,,0,1,0
R5,32,02/22/2012,13:44,1,Pop,,Calls from another monkey species,,,0,1,0
